Abilene Christian,.314
Air Force,.375
Akron,.379
Alabama A&M,.279
Alabama-Birmingham,.326
Alabama State,.316
Alabama,.350
Albany (NY),.339
Alcorn State,.372
American,.345
Appalachian State,.313
Arizona State,.318
Arizona,.360
Little Rock,.349
Arkansas-Pine Bluff,.280
Arkansas State,.353
Arkansas,.315
Army,.327
Auburn,.312
Austin Peay,.344
Ball State,.335
Baylor,.352
Belmont,.356
Bethune-Cookman,.327
Binghamton,.326
Boise State,.347
Boston College,.297
Boston University,.323
Bowling Green State,.333
Bradley,.370
Brigham Young,.428
Brown,.318
Bryant,.321
Bucknell,.335
Buffalo,.320
Butler,.344
Cal Poly,.345
Cal State Bakersfield,.328
Cal State Fullerton,.331
Cal State Northridge,.363
California Baptist,.379
UC-Davis,.383
UC-Irvine,.338
UC-Riverside,.350
UC-Santa Barbara,.341
University of California,.345
Campbell,.347
Canisius,.297
Central Arkansas,.319
Central Connecticut State,.351
Central Florida,.317
Central Michigan,.338
Charleston Southern,.323
Charlotte,.352
Chattanooga,.361
Chicago State,.322
Cincinnati,.316
Citadel,.332
Clemson,.318
Cleveland State,.295
Coastal Carolina,.327
Colgate,.361
College of Charleston,.345
Colorado State,.370
Colorado,.370
Columbia,.316
Connecticut,.334
Coppin State,.271
Cornell,.303
Creighton,.373
Dartmouth,.318
Davidson,.368
Dayton,.367
Delaware State,.307
Delaware,.363
Denver,.333
DePaul,.318
Detroit Mercy,.327
Drake,.347
Drexel,.355
Duke,.351
Duquesne,.327
East Carolina,.285
East Tennessee State,.344
Eastern Illinois,.349
Eastern Kentucky,.324
Eastern Michigan,.286
Eastern Washington,.349
Elon,.360
Evansville,.317
Fairfield,.309
Fairleigh Dickinson,.351
Florida A&M,.283
Florida Atlantic,.319
Florida Gulf Coast,.308
Florida International,.357
Florida State,.358
Florida,.338
Fordham,.323
Fresno State,.330
Furman,.365
Gardner-Webb,.358
George Mason,.312
George Washington,.321
Georgetown,.339
Georgia Southern,.331
Georgia State,.376
Georgia Tech,.299
Georgia,.297
Gonzaga,.391
Grambling,.296
Grand Canyon,.324
Green Bay,.370
Hampton,.322
Hartford,.333
Harvard,.343
Hawaii,.335
High Point,.314
Hofstra,.357
Holy Cross,.339
Houston Baptist,.361
Houston,.341
Howard,.336
Idaho State,.345
Idaho,.335
Illinois-Chicago,.336
Illinois State,.353
Illinois,.313
Incarnate Word,.288
Indiana State,.389
Indiana,.326
Iona,.331
Iowa State,.317
Iowa,.350
Purdue-Fort Wayne,.334
IUPUI,.338
Jackson State,.260
Jacksonville State,.343
Jacksonville,.315
James Madison,.322
Kansas State,.325
Kansas,.342
Kennesaw State,.251
Kent State,.347
Kentucky,.333
La Salle,.341
Lafayette,.357
Lamar,.323
Lehigh,.338
Liberty,.365
Lipscomb,.336
Cal State Long Beach,.355
Long Island University,.343
Longwood,.341
Louisiana,.319
Louisiana-Monroe,.340
Louisiana State,.309
Louisiana Tech,.349
Louisville,.391
Loyola (IL),.357
Loyola Marymount,.317
Loyola (MD),.322
Maine,.284
Manhattan,.314
Marist,.338
Marquette,.388
Marshall,.294
Maryland-Baltimore County,.319
Maryland-Eastern Shore,.247
Maryland,.318
Massachusetts-Lowell,.333
Massachusetts,.334
McNeese State,.407
Memphis,.343
Mercer,.357
Merrimack,.324
Miami (FL),.333
Miami (OH),.343
Michigan State,.347
Michigan,.348
Middle Tennessee,.338
Milwaukee,.316
Minnesota,.321
Mississippi State,.332
Mississippi Valley State,.283
Mississippi,.328
Missouri-Kansas City,.365
Missouri State,.348
Missouri,.306
Monmouth,.348
Montana State,.330
Montana,.358
Morehead State,.293
Morgan State,.288
Mount St. Mary's,.304
Murray State,.367
Navy,.309
Omaha,.347
Nebraska,.327
Nevada-Las Vegas,.309
Nevada,.381
New Hampshire,.330
New Mexico State,.349
New Mexico,.332
New Orleans,.345
Niagara,.352
Nicholls State,.326
NJIT,.304
Norfolk State,.335
North Alabama,.334
North Carolina-Asheville,.352
North Carolina A&T,.296
North Carolina Central,.304
North Carolina-Greensboro,.325
North Carolina State,.325
North Carolina-Wilmington,.344
North Carolina,.287
North Dakota State,.348
North Dakota,.349
North Florida,.377
North Texas,.394
Northeastern,.383
Northern Arizona,.378
Northern Colorado,.373
Northern Illinois,.337
Northern Iowa,.402
Northern Kentucky,.321
Northwestern State,.344
Northwestern,.322
Notre Dame,.347
Oakland,.296
Ohio State,.380
Ohio,.340
Oklahoma State,.302
Oklahoma,.330
Old Dominion,.276
Oral Roberts,.321
Oregon State,.323
Oregon,.381
Pacific,.345
Penn State,.335
Pennsylvania,.316
Pepperdine,.356
Pittsburgh,.303
Portland State,.321
Portland,.344
Prairie View,.301
Presbyterian,.320
Princeton,.346
Providence,.315
Purdue,.349
Quinnipiac,.359
Radford,.348
Rhode Island,.324
Rice,.344
Richmond,.360
Rider,.330
Robert Morris,.365
Rutgers,.301
Sacramento State,.302
Sacred Heart,.323
Saint Francis (PA),.368
Saint Joseph's,.301
Saint Louis,.333
Saint Mary's (CA),.413
Saint Peter's,.357
Sam Houston State,.358
Samford,.339
San Diego State,.387
San Diego,.317
San Francisco,.338
San Jose State,.298
Santa Clara,.363
Seattle,.309
Seton Hall,.324
Siena,.351
South Alabama,.327
South Carolina State,.317
South Carolina Upstate,.318
South Carolina,.316
South Dakota State,.351
South Dakota,.396
South Florida,.314
Southeast Missouri State,.324
Southeastern Louisiana,.293
Southern California,.346
SIU Edwardsville,.311
Southern Illinois,.334
Southern Methodist,.354
Southern Mississippi,.309
Southern Utah,.330
Southern,.326
St. Bonaventure,.344
St. Francis (NY),.296
St. John's (NY),.309
Stanford,.378
Stephen F. Austin,.369
Stetson,.332
Stony Brook,.345
Syracuse,.342
Temple,.329
Tennessee-Martin,.343
Tennessee State,.356
Tennessee Tech,.336
Tennessee,.306
Texas A&M-Corpus Christi,.362
Texas A&M,.257
Texas-Arlington,.314
Texas Christian,.336
Texas-El Paso,.279
Texas-Rio Grande Valley,.336
Texas-San Antonio,.351
Texas Southern,.278
Texas State,.338
Texas Tech,.356
Texas,.330
Toledo,.363
Towson,.340
Troy,.325
Tulane,.348
Tulsa,.316
UCLA,.317
Utah State,.322
Utah Valley,.299
Utah,.327
Valparaiso,.320
Vanderbilt,.330
Vermont,.323
Villanova,.350
Virginia Commonwealth,.354
VMI,.358
Virginia Tech,.357
Virginia,.286
Wagner,.319
Wake Forest,.336
Washington State,.323
Washington,.331
Weber State,.335
West Virginia,.301
Western Carolina,.368
Western Illinois,.367
Western Kentucky,.337
Western Michigan,.329
Wichita State,.316
William & Mary,.341
Winthrop,.343
Wisconsin,.333
Wofford,.353
Wright State,.367
Wyoming,.299
Xavier,.309
Yale,.381
Youngstown State,.305
